lat,lon,custo,nome
-22.98069,-43.19277,183.0,5 min a pé - Praia de Copacabana e Metrô III
-22.952841,-43.168194,361.0,2 bedroom apartment 400 meters from the beach
-22.97566,-43.18893,243.0,Apartment in Copacabana / RIO with Fast Internet
-22.96343,-43.1905,343.0,Beautiful Newly Renovated Studio in Copacabana !
-22.9144,-43.18163,139.0,A MELHOR LOCALIZAÇAO PARA AS SUAS FÉRIAS
-22.9155,-43.18423,124.0,Precioso apartamento  para o carnaval
-22.96053,-43.22041,270.0,A Prime House in Botanico´s Garden!
-22.96849,-43.18863,160.0,"Copacabana, Cozy and Central"
-22.9409,-43.19129,350.0,Delicious new and wonderfull view 2 bedroomns
-22.94664,-43.18558,60.0,Fresh n' Pendant-Botafogo
-22.93525,-43.17963,227.0,Cozy apartment located in a safe area of Rio
-23.00705,-43.32212,810.0,Nice place in Rio with ocean view.
-22.91735,-43.18133,432.0,Studio em Santa Teresa/Lapa
-22.97294297409056,-43.18587004387549,980.0,Copacabana Beach
-22.98162841796875,-43.19441604614258,150.0,Room -Corner in the Marvelous City!
-22.97975,-43.19016,223.0,Copacabana Beach side view 9th floor natural light
-22.98323,-43.1982,566.0,SUITE IN IPANEMA RIO DE JANEIRO
-22.91625,-43.18593,337.0,Rio-2 Bedroom-Minutes from it all
-22.96738,-43.18026,388.0,"Sleek, luxurious, in Copacabana"
-22.96779,-43.18065,167.0,Copa Penthouse Black & White Suite
-22.98377,-43.20067,299.0,Bedroom & living room  in the best part of Ipanema
-23.00715,-43.32929,465.0,Apartamento duplex - 2 suites ABM
-22.98649,-43.19793,413.0,Nice appartement   in Ipanema Beach in RIO
-22.94471,-43.18421,170.0,In the middle of the city close to nature.
-22.94187,-43.18707,729.0,NEW WORLD LODGINGS #Caledonia Room
-22.94259,-43.18703,729.0,NEW WORLD LODGINGS #Tirrik Room -RJ
-22.92661,-43.19146,350.0,Arte e vista em Santa Teresa- Rio
-22.98531,-43.20082,377.0,THE BEST OF IPANEMA I - ONE BEDROOM
-22.98123,-43.19865,340.0,Quarto aconchegante em Ipanema.
-22.96488,-43.17707,380.0,Wonderful location in Copacabana!
-22.94264,-43.18865,1982.0,NEW WORLD INDEPENDENT LODGINGS - RJ
-22.94165,-43.18703,206.0,Rio from the hill!
-22.96825,-43.18237,140.0,Copa Penthouse Red & White Suite
-22.92129,-43.18193,5874.0,2BR Cosy Apt w/Pool in Santa Teresa
-22.92286,-43.1879,1250.0,OLYMPIC GAMES 2016 - in Rio de Janeiro
-22.96804,-43.18327,343.0,Super Studio at Copacabana Beach
-22.9789,-43.22399,128.0,Leblon Beach /Gávea The Best placee
-22.92879,-43.19474,343.0,"GREAT VIEW -Santa Teresa- GUESTHOUSE ""Casa 48""  #2"
-22.92691,-43.19309,112.0,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #3"
-22.97009,-43.18231,2447.0,Copacabana Apartment Block Beach
-22.96204,-43.22045,219.0,House in prime location near Lagoa
-22.97946,-43.19211,214.0,"Copacabana, internet wifi, air"
-22.98173,-43.2247,200.0,Beautiful Apartment in Leblon
-22.96392,-43.17263,213.0,Comfortable in Copacabana beach
-22.84208,-43.31572,368.0,"Alugo quarto espaçoso ,com direitos"
-22.96654,-43.18248,167.0,Copa Penthouse Brown & White Suite
-22.98287,-43.18972,1103.0,AMAZING BEACH FRONT IN COPACABANA
-22.98222875639368,-43.18975580079,343.0,Virtually On The Beach!!!
-22.98127,-43.19215,571.0,"Copacabana, Posto 06,   Um quarto"
-22.93527,-43.17834,1133.0,Charmosa hospedagem!
-22.90941,-43.1935,160.0,Samba Studio at Downtown Rio
-22.97369,-43.19022,210.0,EXCELLENT LOCATION IN COPACABANA
-22.96689,-43.1805,491.0,LUXE Loft in Copacabana - 1 Block from the Beach
-23.01524,-43.30342,475.0,Linda cobertura vista mar Jd Oceânico
-23.01469,-43.3008,1900.0,Wonderful penthouse in Garden Ocean
-22.9214241,-43.1810904,310.0,Cosy and beautifull apartment in Gloria
-22.98657,-43.19549,503.0,Ótimo Apartamento em Ipanema
-22.97551,-43.19026,283.0,Modern Flat at Copacabana - Rio
-22.98485,-43.1972,469.0,Excelente Apartamento em Ipanema
-22.98419,-43.19254,450.0,COPACABANA ENTRE AS PRAIAS DE IPANEMA E ARPOADOR
